appData.Currentclue,appData.Final score,appData.FirstAttemptAnswer,appData.NumberofAttempts,appData.SecondAttemptAnswer,appData.event_type,appData.language,appName,buddyIds,createdAt,language,sessionId,userId,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 5,,-11.6,2,-30.4,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:3:47,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 6,,-69.6,1,,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:4:57,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 7,,-26.8,2,-99.6,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:6:0,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 8,,69.2,1,,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:6:30,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,session_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:6:30,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,game_start,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:7:26,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 1,,-176,1,,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:8:13,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 2,,76.8,2,96.4,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:9:12,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत  3,,43.2,2,48,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:10:3,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,game_start,hi,AstRoamer_Element_Hunt_Activity,216321,2018-8-25 10:10:11,hi,ifdgufhwvlcrf75lyembzgaehcgxyb9h,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 4,,22,2,26.8,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:10:53,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 5,,-27.2,2,-35.2,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:12:0,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 6,,-48.8,1,,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:12:45,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 1,,-177.6,1,,clue_end,hi,AstRoamer_Element_Hunt_Activity,216321,2018-8-25 10:13:8,hi,ifdgufhwvlcrf75lyembzgaehcgxyb9h,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 7,,-24.4,2,-138,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:13:26,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 2,,-150.4,1,,clue_end,hi,AstRoamer_Element_Hunt_Activity,216321,2018-8-25 10:13:38,hi,ifdgufhwvlcrf75lyembzgaehcgxyb9h,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 8,,83.2,1,,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:13:56,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,session_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:13:56,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत  3,,69.2,1,,clue_end,hi,AstRoamer_Element_Hunt_Activity,216321,2018-8-25 10:14:18,hi,ifdgufhwvlcrf75lyembzgaehcgxyb9h,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,game_start,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:14:30,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 1,,-171.2,1,,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:14:53,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 4,,64,2,-109.6,clue_end,hi,AstRoamer_Element_Hunt_Activity,216321,2018-8-25 10:15:22,hi,ifdgufhwvlcrf75lyembzgaehcgxyb9h,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 2,,69.2,2,91.2,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:15:29,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत  3,,42.4,2,15.6,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:16:15,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 5,,95.6,2,-79.2,clue_end,hi,AstRoamer_Element_Hunt_Activity,216321,2018-8-25 10:16:34,hi,ifdgufhwvlcrf75lyembzgaehcgxyb9h,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
संकेत 4,,-82.4,2,-63.2,clue_end,hi,AstRoamer_Element_Hunt_Activity,216345,2018-8-25 10:16:47,hi,ql3ngdrl1pis0ab9xnkubwlr8zr265f0,216324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
